city_name,state,abbreviation,population,latitude,longitude
Keller,Texas,TX,42907,32.9341893,-97.229298
Goose Creek,South Carolina,SC,39823,32.9810059,-80.03258670000001
Little Rock,Arkansas,AR,197357,34.7464809,-92.2895948
Santa Ana,California,CA,334227,33.7455731,-117.8678338
White Plains,New York,NY,57866,41.0339862,-73.76290970000001
Idaho Falls,Idaho,ID,58292,43.491651399999995,-112.0339645
Bellevue,Washington,WA,133992,47.610377,-122.20067859999999
Roseville,California,CA,127035,38.752123499999996,-121.28800590000002
Perth Amboy,New Jersey,NJ,51982,40.5067723,-74.2654234
Peabody,Massachusetts,MA,52044,42.5278731,-70.92866090000001
Grand Island,Nebraska,NE,50550,40.92639570000001,-98.34201180000001
Columbia,Missouri,MO,115276,38.95170529999999,-92.33407240000001
Racine,Wisconsin,WI,78199,42.7261309,-87.78285229999999
Carmel,Indiana,IN,85927,39.978371,-86.1180435
Portage,Michigan,MI,47523,42.20115379999999,-85.5800022
Middletown,Ohio,OH,48630,39.5150576,-84.39827629999999
Woodland,California,CA,56590,38.6785157,-121.7732971
Revere,Massachusetts,MA,53756,42.408430200000005,-71.0119948
Euless,Texas,TX,53224,32.8370727,-97.08195409999999
Arlington Heights,Illinois,IL,75994,42.0883603,-87.9806265
Hemet,California,CA,81750,33.7475203,-116.97196840000001
High Point,North Carolina,NC,107741,35.955692299999995,-80.0053176
Newark,Ohio,OH,47777,40.0581205,-82.4012642
Midwest City,Oklahoma,OK,56756,35.4495065,-97.39670190000001
San Marcos,California,CA,89387,33.1433723,-117.1661449
Port Orange,Florida,FL,57203,29.1383165,-80.9956105
Lakewood,California,CA,81121,33.853626899999995,-118.13395630000001
Westerville,Ohio,OH,37530,40.126174299999995,-82.9290696
Rockford,Illinois,IL,150251,42.2711311,-89.09399520000001
El Cajon,California,CA,102211,32.7947731,-116.96252690000001
St. Petersburg,Florida,FL,249688,27.773056,-82.64
Downers Grove,Illinois,IL,49670,41.8089191,-88.01117459999999
Milford,Connecticut,CT,51644,41.2306979,-73.064036
Albany,Oregon,OR,51583,44.6365107,-123.10592820000001
Las Vegas,Nevada,NV,603488,36.169941200000004,-115.13982959999998
Pasadena,Texas,TX,152735,29.6910625,-95.2091006
Port St. Lucie,Florida,FL,171016,27.273049199999996,-80.3582261
Cedar Rapids,Iowa,IA,128429,41.9778795,-91.66562320000001
Ormond Beach,Florida,FL,38661,29.285812899999996,-81.05588940000001
Quincy,Massachusetts,MA,93494,42.25287720000001,-71.0022705
Miramar,Florida,FL,130288,25.9860762,-80.3035602
El Paso,Texas,TX,674433,31.7775757,-106.44245590000001
Topeka,Kansas,KS,127679,39.055823499999995,-95.6890185
Rosemead,California,CA,54561,34.0805651,-118.072846
Keizer,Oregon,OR,37064,44.9901194,-123.0262077
Minnetonka,Minnesota,MN,51368,44.9211836,-93.46874890000001
Akron,Ohio,OH,198100,41.081444700000006,-81.51900529999999
Edinburg,Texas,TX,80836,26.3017374,-98.1633432
Rancho Cucamonga,California,CA,171386,34.1063989,-117.5931084
North Charleston,South Carolina,SC,104054,32.8546197,-79.9748103
Louisville,Kentucky,KY,609893,38.252664700000004,-85.7584557
Watsonville,California,CA,52477,36.910231,-121.7568946
Coconut Creek,Florida,FL,56792,26.2517482,-80.17893509999999
Bradenton,Florida,FL,51763,27.4989278,-82.5748194
Carlsbad,California,CA,110972,33.158093300000004,-117.3505939
Texas City,Texas,TX,46081,29.383845,-94.9027002
Redding,California,CA,91119,40.5865396,-122.3916754
Wyoming,Michigan,MI,74100,42.9133602,-85.7053085
Lorain,Ohio,OH,63710,41.452819,-82.18237459999999
Roy,Utah,UT,37733,41.1616108,-112.02633130000001
Fort Lauderdale,Florida,FL,172389,26.122438600000002,-80.13731740000001
Warner Robins,Georgia,GA,72531,32.6130007,-83.624201
Clearwater,Florida,FL,109703,27.9658533,-82.8001026
Cutler Bay,Florida,FL,43328,25.5808323,-80.3468593
Florence,Alabama,AL,40059,34.79981,-87.677251
Terre Haute,Indiana,IN,61025,39.4667034,-87.4139092
Temple,Texas,TX,70190,31.0982344,-97.342782
Beavercreek,Ohio,OH,45712,39.7092262,-84.0632685
Sioux Falls,South Dakota,SD,164676,43.5445959,-96.73110340000001
Columbus,Indiana,IN,45775,39.201440399999996,-85.9213796
Margate,Florida,FL,55456,26.244526300000004,-80.206436
Leominster,Massachusetts,MA,41002,42.5250906,-71.759794
Warwick,Rhode Island,RI,81971,41.700100899999995,-71.4161671
Bakersfield,California,CA,363630,35.3732921,-119.0187125
Miami,Florida,FL,417650,25.7616798,-80.1917902
